298
Vega,0.97021,-5.96774,4.85823,-0.001,1
Sirius,-0.49439,2.4768,-0.75836,0.009,0.961956425
Fomalhaut,6.43705,-1.79583,-3.79976,0.145,0.901170969
Altair,2.36166,-4.49935,0.79277,0.221,0.83134438
Procyon,-1.46237,3.16092,0.31864,0.432,0.784617365
Gl  19,1.63874,0.1842,-7.29078,0.618,0.741609301
Gl 178,2.40102,7.59608,0.97269,0.484,0.734114183
Gl 150,5.00781,7.37218,-1.53383,0.915,0.731960776
Gl 695  A,-0.43897,-7.42265,3.90751,0.75,0.730235085
Gl 216  A,0.56144,8.27076,-3.42484,0.481,0.729477995
Gl 713  A,0.21923,-2.38146,7.69426,0.489,0.72468054
Rigel Kentaurus A,-0.50362,-0.42139,-1.17665,0.71,0.718323873
Gl 827,3.01087,-2.38549,-8.37792,0.494,0.717583515
Gl 502,-7.69786,-2.4968,4.28051,0.572,0.717032603
Gl  17,3.63406,0.31844,-7.77971,0.576,0.715003999
Gl  34  A,3.09817,0.67388,5.03807,0.587,0.714635132
Gl 780,1.31352,-2.0879,-5.58733,0.751,0.714180994
Gl 475,-6.21534,-0.922,5.5311,0.588,0.714109712
Gl 222  A,0.19908,8.12397,3.00224,0.594,0.713162098
Sol,0,0,0,0.656,0.711480512
Gl 137,5.89679,6.98774,0.5384,0.681,0.709720162
Gl 442  A,-7.01357,0.41246,-6.00079,0.664,0.709446352
Gl 506,-7.62443,-2.71554,-2.67804,0.709,0.709233432
82 G. Eri,2.84712,3.38968,-4.13835,0.711,0.707259116
Gl 566  A,-4.64161,-4.30526,2.19233,0.72,0.706855978
Gl 434,-7.86403,0.6517,5.36323,0.723,0.706841492
Gl 663  B,-1.03592,-5.25043,-2.67991,0.855,0.706639067
Gl 702  A,0.12089,-5.07966,0.22206,0.86,0.706319753
Gl  75,3.91934,1.99128,8.95517,0.804,0.705570217
Gl  71,3.15162,1.5386,-1.00165,0.727,0.705344584
Rigel Kentaurus B,-0.50359,-0.42128,-1.1767,0.9,0.705236068
Gl 666  A,-1.07227,-5.93702,-6.38794,0.764,0.705007169
Gl  53  A,4.14948,1.27288,6.18121,0.704,0.704877271
Gl 631,-3.48719,-9.12646,-0.39647,0.827,0.704703877
Gl 764,0.78575,-1.84345,5.40729,0.786,0.70450613
Gl  68,6.31622,3.02959,2.58716,0.836,0.704470189
Gl 166  A,2.20549,4.48679,-0.67104,0.82,0.704300995
Gl 785,4.37453,-6.52989,-4.01038,0.878,0.703974302
Gl 432  A,-7.96504,0.88993,-5.17166,0.811,0.703757474
Gl 144,1.8999,2.5429,-0.52881,0.881,0.703366096
Gl 663  A,-1.03566,-5.25107,-2.67874,0.85,0.703358148
p Eridani,4.10948,1.91164,-6.76944,0.88,0.703295381
Gl  66  A,4.10983,1.91132,-6.76933,0.86,0.70317618
Gl 216  B,0.56207,8.27265,-3.42018,0.94,0.702841025
96 G. Psc,7.26388,1.55643,0.68697,0.89,0.702814997
Gl 783  A,2.64881,-4.11041,-3.56547,0.868,0.702727194
Gl 183,2.23966,8.47849,-0.88317,1.049,0.702524991
Gl 892,3.46475,-0.71679,5.48329,1,0.702518843
268 G. Cet,5.56062,4.50547,0.86396,0.918,0.702509962
Groombridge 1830,-7.23832,0.22335,5.60369,0.754,0.702266832
Gl 667  A,-1.01773,-5.61967,-3.9974,1.082,0.702101561
33 G. Lib,-3.93085,-3.84453,-2.15603,1.024,0.701796902
Gl 250  A,-1.96041,8.44005,-0.78454,1.071,0.701766031
Gl 845,1.73463,-0.96855,-3.03369,1.056,0.701749356
Gl 879,6.25816,-1.78277,-3.99777,1.094,0.701492085
Gl 664,-1.0135,-5.24187,-2.66696,1.144,0.701046145
Gl 702  B,0.12071,-5.07962,0.22304,1.15,0.70102962
Gl 820  A,1.97735,-1.86259,2.17952,1.069,0.70100873
Gl 566  B,-4.64173,-4.30513,2.19234,1.16,0.700731204
Gl 667  B,-1.01933,-5.61933,-3.99747,0.4,0.700640503
Gl 673,-1.14826,-7.62843,0.2848,1.359,0.700574265
Gl 638,-2.61506,-7.71548,5.39382,1.31,0.700549216
Groombridge 1618,-2.81844,1.44553,3.70285,1.326,0.70054385
Gl 884,7.26816,-1.93804,-3.11952,1.379,0.700467216
Gl 820  B,1.98957,-1.87373,2.19224,1.309,0.700466601
Gl  34  B,3.09786,0.67205,5.03851,1.39,0.700351025
Gl 570  B,-4.98134,-4.87094,-2.7314,1.519,0.700350023
Gl 185  A,1.97201,7.69096,-3.08857,1.43,0.700344125
Gl 338  A,-2.81385,2.48065,4.922,1.41,0.700336569
Lacaille 8760,2.33065,-2.00299,-2.47654,1.397,0.700328392
Gl 338  B,-2.85144,2.51307,4.98712,1.42,0.700326957
Gl 803,5.60274,-6.37996,-5.17065,1.47,0.700295657
Gl 666  B,-1.07439,-5.93635,-6.38821,1.41,0.700257948
Gl 784,2.41268,-3.64934,-4.39984,1.431,0.700249645
Gl 205,0.70566,5.63517,-0.36448,1.474,0.70021001
Gl 809,2.25792,-2.39333,6.22912,1.483,0.700188628
Gl 678.1A,-1.28066,-9.85336,0.96535,1.461,0.700184671
Gl 229,-0.24725,5.35301,-2.15016,1.487,0.700183159
Gl 867  A,7.58564,-2.80771,-3.04367,1.466,0.700177472
Gl 880,6.34746,-1.80241,1.96131,1.507,0.700159777
Gl 424,-3.66548,0.64384,8.29876,1.412,0.700156125
Gl 514,-6.93093,-2.87036,1.37409,1.493,0.700139482
Gl 239,-1.51609,9.26131,2.97047,1.48,0.700136192
Lacaille 9352,2.59268,-0.625,-1.92745,1.483,0.700124275
Gl 526,-4.69996,-2.33593,1.39602,1.435,0.700121785
Gl 382,-6.95123,3.53052,-0.51033,1.487,0.70012064
Gl 701,0.17391,-7.7826,-0.41212,1.508,0.700108522
Gl 433,-7.57527,0.81457,-4.86088,1.489,0.700097257
Gl 686,-0.74248,-7.6688,2.5913,1.53,0.700093728
Gl 450,-6.97753,0.27032,4.93884,1.477,0.700091209
Gl 908,5.95791,-0.28099,0.25036,1.46,0.700091145
Gl 176,2.90709,8.31126,3.02755,1.52,0.700088268
Gl 569  A,-6.82484,-6.50401,2.72139,1.5,0.700086971
Gl 680,-0.6963,-6.41626,-7.3417,1.543,0.700084734
Gl 832,2.59993,-1.93146,-3.7268,1.521,0.70008372
Gl 644  A,-1.57753,-5.45542,-0.83192,1.553,0.7000812
Gl  54,2.97581,0.94358,-7.51685,1.568,0.700079612
Gl 367,-5.6846,3.81615,-7.03452,1.53,0.700078651
Gl 752  A,1.92674,-5.52302,0.52947,1.464,0.700077548
Gl 661  A,-0.91615,-4.32194,4.5225,1.485,0.70007543
Gl  84,7.69005,4.66953,-2.85639,1.514,0.70007476
Gl  15  A,2.55743,0.20511,2.47951,1.56,0.700073899
Gl 393,-6.66704,2.79806,0.10636,1.507,0.700072145
Gl   1,3.46535,0.08073,-2.64555,1.462,0.700071592
Gl 250  B,-1.96124,8.43965,-0.78677,1.5,0.700069637
Gl 412  A,-3.40534,0.82485,3.32784,1.491,0.700069198
Gl  48,2.4656,0.68937,7.7325,1.501,0.700067545
Gl 190,1.97014,8.63306,-2.90601,1.52,0.700067077
Gl 588,-2.68041,-3.56449,-3.91436,1.524,0.700066446
Lalande 21185,-1.9995,0.50462,1.49725,1.502,0.700065511
Gl 694,-0.48309,-6.87947,6.51707,1.528,0.700057299
Gl 226,-0.05809,1.28847,9.3069,1.514,0.700056705
Gl 849,7.75135,-4.04966,-0.70989,1.531,0.700052742
Gl 479,-5.86485,-0.97845,-7.61084,1.47,0.700051229
Gl 695  B,-0.43956,-7.42237,3.90798,1.49,0.700051082
Gl 438,-5.17912,0.37896,-6.60677,1.53,0.700050656
Gl 877,2.08009,-0.59844,-8.343,1.485,0.700050427
Gl 623,-2.17082,-4.88369,6.00985,1.475,0.700050408
Gl 358,-5.85877,4.11076,-6.23656,1.521,0.7000464
Gl 687,-0.17148,-1.66227,4.2083,1.505,0.700044824
Kapteyn's Star,0.58078,2.70835,-2.77036,1.543,0.700043826
Wo 9492,-3.04109,-2.60577,9.01856,1.615,0.700043264
Gl 618  A,-2.83769,-6.09013,-5.16136,1.55,0.700042826
